Name Of Player,Country,Years
 , ,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
JN Rhodes, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,906,1542,1659,2219,2968,3393,3779,4492,4867,5933,5935,5935,5935,5935,5935,5935,5935,5935,5935,5935,5935,5935,5935,5935,5935,5935,5935
Rameez Raja, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,1056,1856,2286,2842,3265,3505,4477,4917,4917,5259,5398,5843,5843,5843,5843,5843,5843,5843,5843,5843,5843,5843,5843,5843,5843,5843,5843,5843,5843,5843,5843,5843,5843,5843
RR Sarwan, (WI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,194,1072,1551,2342,2761,3724,4099,4594,4907,5098,5644,5644,5804,5804,5804,5804,5804,5804,5804
CL Hooper, (WI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,758,758,916,1372,1748,2177,2690,3270,3504,3963,4244,4612,4612,5146,5662,5761,5761,5761,5761,5761,5761,5761,5761,5761,5761,5761,5761,5761,5761,5761,5761,5761
SR Watson, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,288,316,454,734,1001,1263,2276,3047,4248,4625,5318,5483,5842,5842,5842,5842,5842
Shakib Al Hasan, (BDESH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,968,1376,2047,2834,3398,3635,3688,3977,4398,4650,5080,5577,5717
SK Raina, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,589,612,1292,1897,2528,3250,3791,4512,5051,5568,5568,5568,5615,5615
MN Samuels, (WI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,683,1087,1412,1412,1448,1711,2341,2513,2513,2513,2973,3455,3902,4205,4806,5180,5241,5606,5606
H Masakadza, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,106,278,670,919,1243,2330,2653,2994,3006,3429,3961,4649,4710,5023,5604,5604
WJ Cronje, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,880,1916,2015,2948,3985,4410,4997,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565,5565
Mushfiqur Rahim, (BDESH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,350,535,922,1460,1987,2251,2449,3153,3920,4118,4576,5346,5558
KS Williamson, (NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,466,822,1338,2045,3539,4165,4761,5229,5599
MEK Hussey, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,604,1388,1835,2457,3623,4448,4862,5442,5442,5442,5442,5442,5442,5442,5442
IR Bell, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,226,880,1960,2483,2483,2622,3234,3783,4428,4907,5416,5416,5416,5416,5416
AD Mathews, (SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,375,666,1171,1705,2290,3534,4067,4492,5065,5380,5381
A Jadeja, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,280,1000,1170,1959,2896,3900,5044,5359,5359,5359,5359,5359,5359,5359,5359,5359,5359,5359,5359,5359,5359,5359,5359,5359,5359,5359,5359
S Dhawan, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69,1231,2046,2791,3078,4038,4935,5355
JE Root, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,1498,2221,3017,4000,4946,5351
DR Martyn, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,136,166,166,166,166,280,730,1262,1679,2609,3275,3886,4691,5346,5346,5346,5346,5346,5346,5346,5346,5346,5346,5346,5346,5346,5346
G Gambhir, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,113,294,409,1043,2162,3010,3680,4400,5111,5238,5238,5238,5238,5238,5238,5238
ADR Campbell, (ZIM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,236,423,562,934,1489,2294,2997,3957,4794,5178,5185,5185,5185,5185,5185,5185,5185,5185,5185,5185,5185,5185,5185,5185,5185,5185,5185
RS Mahanama, (SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,434,836,1135,1200,1218,1782,2387,2990,3585,3915,4629,4958,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183
CG Greenidge, (WI),0,0,0,0,129,227,235,235,892,1133,1573,1573,2322,2545,2912,3362,3816,4595,4869,5025,5134,5134,5134,5134,5134,5134,5134,5134,5134,5134,5134,5134,5134,5134,5134,5134,5134,5134,5134,5134,5134,5134,5134,5134,5134,5134,5134,5134,5134
F du Plessis, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,563,1102,1892,2776,3354,4259,4693,5125
Misbah-ul-Haq, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,282,305,305,305,577,1223,1523,1554,2518,3052,4384,4669,5122,5122,5122,5122,5122
PD Collingwood, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,737,996,1359,1791,2311,3375,3773,4478,4978,5092,5092,5092,5092,5092,5092,5092,5092,5092
A Symonds, (AUS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,477,693,750,1484,2287,3102,3863,4671,5006,5088,5088,5088,5088,5088,5088,5088,5088,5088,5088,5088
Abdul Razzaq, (Asia/PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,101,468,1129,1513,2188,2788,3428,3948,4403,4465,4465,4590,4921,5080,5080,5080,5080,5080,5080,5080,5080,5080
JP Duminy, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,144,342,818,1293,1726,2289,2601,3260,3571,3937,4381,4668,5016,5055
CL Cairns, (ICC/NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,83,303,360,797,1304,1808,2109,2688,3211,3216,3614,4199,4628,4950,4950,4950,4950,4950,4950,4950,4950,4950,4950,4950,4950,4950,4950,4950
Aamer Sohail, (PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,138,746,1145,2269,2682,3919,4085,4651,4704,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780
CD McMillan, (NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,739,1064,1425,2091,2964,3215,3699,4148,4179,4707,4707,4707,4707,4707,4707,4707,4707,4707,4707,4707,4707,4707
MD Crowe, (NZ),0,0,0,0,0,0,0,0,0,0,0,10,328,744,982,1604,1928,2259,2455,3306,3428,4217,4412,4510,4704,4704,4704,4704,4704,4704,4704,4704,4704,4704,4704,4704,4704,4704,4704,4704,4704,4704,4704,4704,4704,4704,4704,4704,4704
MV Boucher, (Afr/SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,316,927,1077,1691,2063,2325,2795,3508,4139,4329,4639,4664,4686,4686,4686,4686,4686,4686,4686,4686,4686
AJ Stewart, (ENG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,449,497,1007,1278,1567,1665,2138,2689,3013,3378,3931,4100,4541,4677,4677,4677,4677,4677,4677,4677,4677,4677,4677,4677,4677,4677,4677,4677,4677,4677
Q de Kock, (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741,1482,1993,2850,3806,4133,4670
SB Styris, (NZ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,197,262,620,1266,1888,2361,2592,3440,3715,3743,4217,4483,4483,4483,4483,4483,4483,4483,4483,4483
KP Pietersen, (ENG/ICC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,888,1500,2389,3047,3179,3332,3903,4184,4440,4440,4440,4440,4440,4440,4440
