Name Of Player,Bio Link,ODI Stats link
Ahmed Shehzad,http://stats.espncricinfo.com/ci/content/player/259410.html,http://stats.espncricinfo.com/ci/engine/player/259410.html?class=2;template=results;type=batting;view=series
Ahsan Malik,http://stats.espncricinfo.com/ci/content/player/518097.html,http://stats.espncricinfo.com/ci/engine/player/518097.html?class=2;template=results;type=batting;view=series
Aijaz Ali,http://stats.espncricinfo.com/ci/content/player/25661.html,http://stats.espncricinfo.com/ci/engine/player/25661.html?class=2;template=results;type=batting;view=series
DS Airee,http://stats.espncricinfo.com/ci/content/player/794707.html,http://stats.espncricinfo.com/ci/engine/player/794707.html?class=2;template=results;type=batting;view=series
Aizaz Khan,http://stats.espncricinfo.com/ci/content/player/401540.html,http://stats.espncricinfo.com/ci/engine/player/401540.html?class=2;template=results;type=batting;view=series
Aizaz Cheema,http://stats.espncricinfo.com/ci/content/player/39821.html,http://stats.espncricinfo.com/ci/engine/player/39821.html?class=2;template=results;type=batting;view=series
Akhtar Sarfraz,http://stats.espncricinfo.com/ci/content/player/38986.html,http://stats.espncricinfo.com/ci/engine/player/38986.html?class=2;template=results;type=batting;view=series
Akram Khan,http://stats.espncricinfo.com/ci/content/player/56221.html,http://stats.espncricinfo.com/ci/engine/player/56221.html?class=2;template=results;type=batting;view=series
Akram Raza,http://stats.espncricinfo.com/ci/content/player/38989.html,http://stats.espncricinfo.com/ci/engine/player/38989.html?class=2;template=results;type=batting;view=series
Alawi Shukri,http://stats.espncricinfo.com/ci/content/player/332921.html,http://stats.espncricinfo.com/ci/engine/player/332921.html?class=2;template=results;type=batting;view=series
TM Alderman,http://stats.espncricinfo.com/ci/content/player/3943.html,http://stats.espncricinfo.com/ci/engine/player/3943.html?class=2;template=results;type=batting;view=series
GW Aldridge,http://stats.espncricinfo.com/ci/content/player/36187.html,http://stats.espncricinfo.com/ci/engine/player/36187.html?class=2;template=results;type=batting;view=series
RP Alexander,http://stats.espncricinfo.com/ci/content/player/25879.html,http://stats.espncricinfo.com/ci/engine/player/25879.html?class=2;template=results;type=batting;view=series
Kabir Ali,http://stats.espncricinfo.com/ci/content/player/8476.html,http://stats.espncricinfo.com/ci/engine/player/8476.html?class=2;template=results;type=batting;view=series
MM Ali,http://stats.espncricinfo.com/ci/content/player/8917.html,http://stats.espncricinfo.com/ci/engine/player/8917.html?class=2;template=results;type=batting;view=series
